# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
you,104,495,0.655,634,0.667,safe,P(correct)=0.65 on 495 decoded; recall=0.67 on 634 ref occurrences
that,147,458,0.629,520,0.677,safe,P(correct)=0.63 on 458 decoded; recall=0.68 on 520 ref occurrences
this,62,225,0.569,281,0.548,safe,P(correct)=0.57 on 225 decoded; recall=0.55 on 281 ref occurrences
have,40,199,0.779,258,0.651,safe,P(correct)=0.78 on 199 decoded; recall=0.65 on 258 ref occurrences
was,79,202,0.520,170,0.700,safe,P(correct)=0.52 on 202 decoded; recall=0.70 on 170 ref occurrences
for,24,163,0.638,184,0.647,safe,P(correct)=0.64 on 163 decoded; recall=0.65 on 184 ref occurrences
what,69,144,0.562,138,0.667,safe,P(correct)=0.56 on 144 decoded; recall=0.67 on 138 ref occurrences
but,19,144,0.681,175,0.606,safe,P(correct)=0.68 on 144 decoded; recall=0.61 on 175 ref occurrences
about,51,134,0.701,143,0.699,safe,P(correct)=0.70 on 134 decoded; recall=0.70 on 143 ref occurrences
with,35,136,0.588,156,0.551,safe,P(correct)=0.59 on 136 decoded; recall=0.55 on 156 ref occurrences
like,9,144,0.542,160,0.537,safe,P(correct)=0.54 on 144 decoded; recall=0.54 on 160 ref occurrences
your,20,129,0.628,163,0.546,safe,P(correct)=0.63 on 129 decoded; recall=0.55 on 163 ref occurrences
are,23,140,0.464,139,0.525,safe,P(correct)=0.46 on 140 decoded; recall=0.53 on 139 ref occurrences
can,24,122,0.541,154,0.487,safe,P(correct)=0.54 on 122 decoded; recall=0.49 on 154 ref occurrences
all,28,114,0.640,136,0.574,safe,P(correct)=0.64 on 114 decoded; recall=0.57 on 136 ref occurrences
going,13,137,0.474,123,0.610,safe,P(correct)=0.47 on 137 decoded; recall=0.61 on 123 ref occurrences
not,29,102,0.637,140,0.507,safe,P(correct)=0.64 on 102 decoded; recall=0.51 on 140 ref occurrences
i'm,11,120,0.442,115,0.565,safe,P(correct)=0.44 on 120 decoded; recall=0.57 on 115 ref occurrences
just,11,102,0.549,129,0.496,safe,P(correct)=0.55 on 102 decoded; recall=0.50 on 129 ref occurrences
know,9,91,0.582,127,0.488,safe,P(correct)=0.58 on 91 decoded; recall=0.49 on 127 ref occurrences
they,12,93,0.581,115,0.539,safe,P(correct)=0.58 on 93 decoded; recall=0.54 on 115 ref occurrences
when,17,103,0.427,88,0.568,safe,P(correct)=0.43 on 103 decoded; recall=0.57 on 88 ref occurrences
because,17,93,0.591,89,0.652,safe,P(correct)=0.59 on 93 decoded; recall=0.65 on 89 ref occurrences
don't,15,77,0.584,94,0.585,safe,P(correct)=0.58 on 77 decoded; recall=0.59 on 94 ref occurrences
there,16,82,0.549,87,0.563,safe,P(correct)=0.55 on 82 decoded; recall=0.56 on 87 ref occurrences
out,16,80,0.575,86,0.581,safe,P(correct)=0.57 on 80 decoded; recall=0.58 on 86 ref occurrences
get,14,78,0.551,89,0.517,safe,P(correct)=0.55 on 78 decoded; recall=0.52 on 89 ref occurrences
will,23,64,0.750,94,0.553,safe,P(correct)=0.75 on 64 decoded; recall=0.55 on 94 ref occurrences
now,7,70,0.700,101,0.505,safe,P(correct)=0.70 on 70 decoded; recall=0.50 on 101 ref occurrences
from,18,76,0.724,78,0.731,safe,P(correct)=0.72 on 76 decoded; recall=0.73 on 78 ref occurrences
really,20,68,0.779,82,0.671,safe,P(correct)=0.78 on 68 decoded; recall=0.67 on 82 ref occurrences
that's,14,66,0.576,90,0.544,safe,P(correct)=0.58 on 66 decoded; recall=0.54 on 90 ref occurrences
how,22,60,0.700,83,0.542,safe,P(correct)=0.70 on 60 decoded; recall=0.54 on 83 ref occurrences
people,25,62,0.855,73,0.781,safe,P(correct)=0.85 on 62 decoded; recall=0.78 on 73 ref occurrences
time,27,73,0.548,53,0.774,safe,P(correct)=0.55 on 73 decoded; recall=0.77 on 53 ref occurrences
very,8,73,0.740,72,0.764,safe,P(correct)=0.74 on 73 decoded; recall=0.76 on 72 ref occurrences
you're,7,53,0.509,74,0.500,safe,P(correct)=0.51 on 53 decoded; recall=0.50 on 74 ref occurrences
some,5,54,0.667,71,0.606,safe,P(correct)=0.67 on 54 decoded; recall=0.61 on 71 ref occurrences
our,7,57,0.561,65,0.508,safe,P(correct)=0.56 on 57 decoded; recall=0.51 on 65 ref occurrences
things,21,53,0.698,55,0.673,safe,P(correct)=0.70 on 53 decoded; recall=0.67 on 55 ref occurrences
think,25,53,0.528,51,0.588,safe,P(correct)=0.53 on 53 decoded; recall=0.59 on 51 ref occurrences
more,9,56,0.804,63,0.762,safe,P(correct)=0.80 on 56 decoded; recall=0.76 on 63 ref occurrences
them,5,48,0.729,66,0.545,safe,P(correct)=0.73 on 48 decoded; recall=0.55 on 66 ref occurrences
where,12,56,0.554,51,0.627,safe,P(correct)=0.55 on 56 decoded; recall=0.63 on 51 ref occurrences
right,2,49,0.571,67,0.433,safe,P(correct)=0.57 on 49 decoded; recall=0.43 on 67 ref occurrences
