bucket,lo,hi,band,n_words,n_correct,p_correct,n_segments,p_correct_pct
very low,0.0,0.4,green,11,2,0.18181818181818182,39,18.18
very low,0.0,0.4,yellow,84,11,0.13095238095238096,39,13.1
very low,0.0,0.4,red,153,6,0.0392156862745098,39,3.92
low,0.4,0.55,green,229,50,0.2183406113537118,188,21.83
low,0.4,0.55,yellow,735,102,0.13877551020408163,188,13.88
low,0.4,0.55,red,944,77,0.0815677966101695,188,8.16
mid-low,0.55,0.65,green,710,293,0.4126760563380282,215,41.27
mid-low,0.55,0.65,yellow,1281,306,0.2388758782201405,215,23.89
mid-low,0.55,0.65,red,1076,121,0.11245353159851301,215,11.25
mid,0.65,0.75,green,2129,1482,0.6961014560826679,330,69.61
mid,0.65,0.75,yellow,2129,765,0.3593236261155472,330,35.93
mid,0.65,0.75,red,1195,197,0.16485355648535566,330,16.49
high,0.75,0.85,green,3828,3206,0.8375130616509927,357,83.75
high,0.75,0.85,yellow,2144,1014,0.47294776119402987,357,47.29
high,0.75,0.85,red,858,214,0.2494172494172494,357,24.94
very high,0.85,1.01,green,4402,4084,0.9277601090413449,298,92.78
very high,0.85,1.01,yellow,1097,661,0.6025524156791249,298,60.26
very high,0.85,1.01,red,256,73,0.28515625,298,28.52
