experiment,decode_config,n_segments,n_empty,empty_pct,mean_is,median_is,std_is,properly_captured_pct,mean_wer,mean_wwer,mean_nea_f1,mean_semantic_sim,mean_phonetic_sim,mean_length_ratio,hallucination_count,hallucination_rate,tier_5_pct,tier_4_pct,tier_3_pct,tier_2_pct,tier_1_pct,tier_5_n,tier_4_n,tier_3_n,tier_2_n,tier_1_n
Baseline,beam5,224,5,2.232142857142857,2.551,2.48,1.298,40.6,,,,,,0.9753,0,0.0,17.4,23.2,20.1,25.4,13.8,39,52,45,57,31
Baseline,default,224,15,6.696428571428571,2.487,2.447,1.376,39.7,,,,,,0.8801,0,0.0,18.3,21.4,21.9,22.3,16.1,41,48,49,50,36
Baseline,greedy,224,0,0.0,2.498,2.392,1.238,36.6,,,,,,1.0354,0,0.0,13.8,22.8,23.2,29.9,10.3,31,51,52,67,23
Baseline,lenpen1,224,0,0.0,2.568,2.504,1.29,40.2,,,,,,1.1503,0,0.0,17.0,23.2,24.1,21.0,14.7,38,52,54,47,33
Baseline,sample_low,224,2,0.8928571428571428,2.587,2.463,1.274,39.7,,,,,,0.9577,0,0.0,19.2,20.5,23.2,25.4,11.6,43,46,52,57,26
Baseline,sample_med,224,2,0.8928571428571428,2.559,2.488,1.288,40.2,,,,,,0.9493,0,0.0,18.8,21.4,21.9,25.0,12.9,42,48,49,56,29
ExpA_r16,beam5,224,15,6.696428571428571,2.481,2.51,1.411,41.1,,,,,,0.8756,0,0.0,17.0,24.1,17.9,23.2,17.9,38,54,40,52,40
ExpA_r16,default,224,26,11.607142857142858,2.312,2.318,1.524,38.8,,,,,,0.7409,0,0.0,17.9,21.0,17.0,18.3,25.9,40,47,38,41,58
ExpA_r16,greedy,224,0,0.0,2.458,2.36,1.235,35.7,,,,,,0.9711,0,0.0,13.8,21.9,22.8,28.6,12.9,31,49,51,64,29
ExpA_r16,lenpen1,224,0,0.0,2.575,2.636,1.344,41.5,,,,,,1.2812,0,0.0,19.6,21.9,20.5,21.9,16.1,44,49,46,49,36
ExpA_r16,sample_low,224,2,0.8928571428571428,2.465,2.487,1.413,40.6,,,,,,0.8057,0,0.0,17.9,22.8,18.3,21.4,19.6,40,51,41,48,44
ExpA_r16,sample_med,224,2,0.8928571428571428,2.49,2.491,1.402,41.5,,,,,,0.8173,0,0.0,17.9,23.7,17.4,21.9,19.2,40,53,39,49,43
ExpB_r64,beam5,224,10,4.464285714285714,2.4,2.309,1.325,36.6,,,,,,0.9944,0,0.0,14.7,21.9,22.3,24.1,17.0,33,49,50,54,38
ExpB_r64,default,224,57,25.44642857142857,2.023,2.022,1.639,33.0,,,,,,0.6944,0,0.0,15.2,17.9,17.4,13.8,35.7,34,40,39,31,80
ExpB_r64,greedy,224,0,0.0,2.399,2.385,1.229,32.6,,,,,,1.1104,0,0.0,12.5,20.1,27.2,24.1,16.1,28,45,61,54,36
ExpB_r64,lenpen1,224,0,0.0,2.427,2.494,1.339,36.6,,,,,,1.7899,0,0.0,16.1,20.5,24.1,19.2,20.1,36,46,54,43,45
ExpB_r64,sample_low,224,3,1.3392857142857142,2.435,2.428,1.332,37.9,,,,,,0.947,0,0.0,16.5,21.4,19.6,25.0,17.4,37,48,44,56,39
ExpB_r64,sample_med,224,4,1.7857142857142856,2.426,2.565,1.357,37.5,,,,,,0.9311,0,0.0,16.1,21.4,20.5,23.7,18.3,36,48,46,53,41
